C;C^;D;D^;E;F;F^;G;G^;A;A^;B;
0.63473463;0.6539344;0.86564744;0.63276595;0.823254;0.5613568;0.7198697;0.8869975;0.8536693;0.89279;0.7276443;1.0;
0.6092492;0.60798126;0.7955558;0.64938897;0.74759656;0.54282904;0.6535736;0.7535269;0.7715978;0.77675885;0.67828774;1.0;
0.5397885;0.5192518;0.7042922;0.5080905;0.62636757;0.4955643;0.6046037;0.5892224;0.6346156;0.70497215;0.6550542;1.0;
0.53553927;0.4706611;0.5919019;0.4641022;0.5698255;0.43091285;0.59021294;0.54816836;0.59014267;0.6835902;0.6685584;1.0;
0.47625536;0.44288698;0.6022546;0.46815446;0.5595311;0.37358478;0.5294063;0.5043652;0.53420013;0.6834588;0.60990286;1.0;
0.545473;0.43918142;0.54645026;0.4002437;0.4836606;0.29071808;0.38941705;0.41931763;0.535002;0.61569554;0.6039839;1.0;
0.5842365;0.53754795;0.52826244;0.42461416;0.5514438;0.31967393;0.33794215;0.36110777;0.47537324;0.6067281;0.54176813;1.0;
0.640126;0.817891;0.86489683;0.66711926;0.7843771;0.54906696;0.5342837;0.443835;0.6316292;1.0;0.7871961;0.9505898;
0.72270244;0.72193307;0.7824649;0.67717886;0.69107175;0.6018846;0.6339246;0.57519;0.7540002;1.0;0.7747914;0.8577073;
0.61379445;0.72156596;0.8433672;0.6312548;0.60486764;0.60010344;0.6310176;0.59214336;0.7352552;1.0;0.7632744;0.64676374;
0.5224717;0.6501886;0.7772667;0.5571982;0.48729655;0.55922794;0.7992701;0.5646218;0.65837914;1.0;0.5900645;0.43924975;
0.38528648;0.5292444;0.6781269;0.5020741;0.4857897;0.60596836;1.0;0.540715;0.5418389;0.91124576;0.5315312;0.33854452;
0.3302009;0.47090155;0.66595536;0.4437866;0.44362533;0.541256;1.0;0.46348888;0.4523411;0.8309796;0.51741296;0.3107223;
0.3682738;0.51112425;0.72838056;0.4746446;0.5312907;0.49134886;1.0;0.45837924;0.50739694;0.9638221;0.5723418;0.32382423;
0.34717256;0.5267554;0.7001197;0.40229106;0.55040383;0.45791122;0.9774756;0.45362702;0.51735;1.0;0.54518026;0.28939712;
0.29365054;0.4199419;0.61754996;0.3607699;0.533017;0.45543846;0.97864366;0.4359585;0.49580264;1.0;0.5419938;0.24852988;
0.28538933;0.38878283;0.6365092;0.36745274;0.5346033;0.44642225;1.0;0.43129587;0.50648236;0.98868614;0.530042;0.24638134;
0.25323835;0.40759823;0.6670616;0.3729617;0.514457;0.4242518;0.97636086;0.4346937;0.49681872;1.0;0.5479759;0.22848298;
0.24371526;0.3812107;0.6649462;0.35162383;0.4752361;0.38557082;0.8839607;0.42305148;0.5121481;1.0;0.52013934;0.22262563;
