C;C^;D;D^;E;F;F^;G;G^;A;A^;B;baseNote;variation1;variation2;
0.56801987;1.0;0.5044047;0.15204789;0.30777827;0.9637466;0.3346895;0.110236816;0.33403844;0.34208345;0.43142617;0.26036924;[A#];[MIN];[];
0.5482257;1.0;0.49467394;0.14637344;0.28967035;0.9419732;0.33659834;0.10832075;0.31997266;0.33303976;0.4193726;0.2462388;[A#];[MIN];[];
0.54631215;1.0;0.48389658;0.13755468;0.28006253;0.904209;0.31724843;0.09972979;0.31406245;0.33448276;0.4087601;0.24901114;[A#];[MIN];[];
0.5345522;1.0;0.4784202;0.13639216;0.275549;0.84998673;0.29575717;0.092465565;0.2893469;0.32315245;0.39763653;0.2338285;[A#];[MIN];[];
0.529078;1.0;0.49117094;0.14477159;0.26999438;0.8304212;0.29960454;0.09530563;0.27157214;0.3259334;0.40698203;0.24283549;[A#];[MIN];[];
0.6080229;1.0;0.6162247;0.23275177;0.30260083;0.83714896;0.35812852;0.15958935;0.35002983;0.4088548;0.48564747;0.3095442;[A#];[MIN];[];
0.66075444;1.0;0.7286049;0.37740192;0.40691456;0.99835134;0.567182;0.37214085;0.5546624;0.5393429;0.6841198;0.5156957;[A#];[MIN];[];
0.642123;0.949162;0.5507446;0.31456822;0.40641567;1.0;0.5424699;0.3673075;0.674221;0.5610878;0.6119236;0.4553175;[A#];[MIN];[];
0.59663683;0.92676467;0.45937523;0.21046528;0.35049966;1.0;0.46098804;0.25520185;0.63593113;0.49256238;0.5302689;0.3526366;[A#];[MIN];[];
0.609124;0.99256444;0.4702323;0.17899285;0.32895;1.0;0.41511258;0.2172081;0.6449831;0.4857489;0.57416826;0.39262718;[A#];[MIN];[];
0.5707613;1.0;0.46141884;0.16322018;0.31126088;0.93172354;0.3754732;0.17453746;0.614663;0.44896653;0.57020915;0.34970045;[A#];[MIN];[];
0.5321251;1.0;0.44959646;0.14324304;0.28039372;0.85877955;0.3461678;0.15669939;0.5736415;0.42889822;0.5411912;0.32500637;[A#];[MIN];[];
0.5428962;1.0;0.4507053;0.13244812;0.275191;0.8428578;0.31251955;0.14246923;0.55069107;0.41298085;0.5195302;0.3059676;[A#];[MIN];[];
0.54996943;1.0;0.4518054;0.13819106;0.27719843;0.8463052;0.2974049;0.1290505;0.51193035;0.4046388;0.50130725;0.29770237;[A#];[MIN];[];
0.5428863;1.0;0.445701;0.12594453;0.27604195;0.86566895;0.30797264;0.1314101;0.5201778;0.41034132;0.49414688;0.28856203;[A#];[MIN];[];
0.5412559;1.0;0.44394672;0.1275898;0.26620704;0.8473284;0.3156462;0.13737303;0.5062095;0.3836841;0.4705623;0.2855542;[A#];[MIN];[];
0.59263694;1.0;0.49655706;0.19896756;0.28984705;0.7342134;0.38107023;0.20391715;0.4995714;0.36723414;0.4688492;0.35065177;[A#];[MIN];[];
0.91653854;0.99209565;0.77999693;0.5628221;0.6074207;1.0;0.6404467;0.4392169;0.63537306;0.5639665;0.68897444;0.7303413;[A#];[MIN];[];
0.87128663;0.8129354;0.6142532;0.46562794;0.48692003;1.0;0.5780973;0.42203155;0.53622454;0.5803406;0.5294488;0.6245096;[A#];[MIN];[];
0.78989047;0.9916764;0.57794046;0.33298203;0.41452524;1.0;0.43208954;0.35771012;0.6168978;0.5827695;0.4875975;0.49182236;[A#];[MIN];[];
0.69972986;1.0;0.500871;0.21009052;0.31595123;0.8875274;0.35497773;0.24987511;0.5106973;0.44785464;0.3902685;0.38863358;[A#];[MIN];[];
0.6888491;1.0;0.48867592;0.2072973;0.314603;0.8886263;0.33345723;0.21770306;0.4862481;0.42267895;0.36678526;0.37932485;[A#];[MIN];[];
0.6455666;1.0;0.46624067;0.17346144;0.26530397;0.78153336;0.2813557;0.18781851;0.44434088;0.40304855;0.36706716;0.36666965;[A#];[MIN];[];
0.601344;1.0;0.45341313;0.14613175;0.23198855;0.70735544;0.24220246;0.15876089;0.43247822;0.38174167;0.35041684;0.337656;[A#];[MIN];[];
0.5672748;1.0;0.43874195;0.15854506;0.24323481;0.7120262;0.23545764;0.16139308;0.43290874;0.3487133;0.34477693;0.34026417;[A#];[MIN];[];
0.5603309;1.0;0.47670072;0.22029953;0.32284477;0.7560131;0.29328358;0.22609241;0.46102262;0.35035452;0.34172028;0.35876012;[A#];[MIN];[];
0.69221693;1.0;0.61390483;0.40206492;0.45247167;0.980217;0.64829767;0.54793525;0.70426345;0.57047623;0.57247275;0.5190795;[A#];[MIN];[];
0.7589969;0.8918176;0.72861075;0.50860864;0.46847886;0.8809384;0.7763612;0.7407571;0.7061697;0.7999597;1.0;0.7493592;[A#];[MIN];[];
0.72654253;1.0;0.66861993;0.38939616;0.43858978;0.8252282;0.45747727;0.4991871;0.61067045;0.6093389;0.8307819;0.63906413;[A#];[MIN];[];
0.5963531;1.0;0.5648351;0.2384013;0.3815495;0.98828864;0.50187975;0.34438258;0.54145473;0.45256826;0.6123675;0.4701185;[A#];[MIN];[];
0.51712275;0.89744973;0.5139628;0.21644333;0.3617515;1.0;0.4185285;0.21630087;0.44126534;0.4413416;0.5465332;0.36892456;[A#];[MIN];[];
0.48971805;0.8736995;0.48228642;0.19610666;0.34260142;1.0;0.38837758;0.18775478;0.44126523;0.4323959;0.5359353;0.34547058;[A#];[MIN];[];
0.46182206;0.88581544;0.469541;0.16785654;0.32142824;1.0;0.37308893;0.13528326;0.4260383;0.40528774;0.5031519;0.31292096;[A#];[MIN];[];
0.46502122;0.9248026;0.4911705;0.17052418;0.31879377;1.0;0.3728484;0.1310584;0.40993622;0.3782058;0.4879507;0.28800875;[A#];[MIN];[];
0.4722439;0.9576391;0.49441308;0.17477424;0.33032593;1.0;0.36262184;0.12619938;0.38051492;0.37668672;0.504854;0.27990627;[A#];[MIN];[];
